w,i
howl,0.4367433488368988
sarcastic,0.43558794260025024
baritone,0.4354921281337738
helicopter,0.43515604734420776
rooster,0.4335768520832062
hound,0.43072736263275146
booming,0.4306367039680481
thunder,0.42624032497406006
windy,0.42531681060791016
outdoor,0.42385438084602356
tuning,0.42358338832855225
canary,0.422954797744751
party,0.4229046106338501
giggling,0.42249149084091187
communication,0.42082059383392334
festive,0.42071303725242615
dogs,0.41999056935310364
chime,0.41924849152565
rhythmic,0.4177570044994354
storm,0.41524189710617065
stutter,0.41509538888931274
instrument,0.41422900557518005
intercom,0.4133734107017517
ad,0.4132944345474243
nonsense,0.41329291462898254
melodic,0.4127907156944275
guitar,0.41095542907714844
engine,0.41056954860687256
amen,0.4060855209827423
siren,0.4037490487098694
percussive,0.40269020199775696
echo,0.3991205394268036
harmonic,0.38951805233955383
children,0.3891787827014923
ambulance,0.3876560628414154
violin,0.38634195923805237
chorus,0.3860410451889038
rainy,0.38422566652297974
acoustic,0.38386788964271545
tuba,0.38096728920936584
beat,0.38016951084136963
church,0.3786099851131439
piano,0.37688499689102173
trumpet,0.37643468379974365
drum,0.3753491938114166
thunderclap,0.3725033104419708
yapping,0.36957287788391113
seashore,0.3687780797481537
music,0.3682592213153839
harp,0.3679906129837036
tenor,0.36629486083984375
foghorn,0.3658658266067505
macaw,0.3654588758945465
multimedia,0.3635199964046478
chaos,0.36161234974861145
lesson,0.36045947670936584
message,0.3593432605266571
musical,0.3583827018737793
rap,0.3563995957374573
decree,0.355034202337265
seagull,0.3542623817920685
harpsichord,0.3539702892303467
movie,0.35322174429893494
chord,0.35321077704429626
circus,0.3524969518184662
broadcast,0.34933552145957947
mower,0.34925392270088196
drummer,0.34893855452537537
techno,0.34871920943260193
screeching,0.34569504857063293
disco,0.3430570662021637
cuss,0.34263718128204346
instrumental,0.3409714698791504
news,0.34065473079681396
cinema,0.3366383910179138
cello,0.3342200219631195
choir,0.33324816823005676
wail,0.33241385221481323
liar,0.33168914914131165
cheers,0.3301325738430023
cheering,0.3295336365699768
information,0.32774609327316284
choral,0.326297402381897
presentation,0.3243023455142975
bees,0.32055744528770447
flute,0.31972575187683105
sing,0.31372663378715515
harmonious,0.31098639965057373
report,0.308352530002594
audience,0.30452287197113037
muttering,0.30441948771476746
clarinet,0.30179286003112793
viola,0.3014984130859375
applause,0.3002784848213196
fiddle,0.2989490032196045
tale,0.2980324625968933
ocean,0.2975548207759857
shrill,0.2972910404205322
crowd,0.29301172494888306
announce,0.2927263677120209
rattlesnake,0.2923239469528198
advertisement,0.2900868356227875
squawk,0.2885545492172241
phrase,0.2829630970954895
cheer,0.2809680700302124
singer,0.27726447582244873
mandolin,0.2715679407119751
concert,0.2694445848464966
clap,0.26716649532318115
saxophone,0.2636362612247467
disturbance,0.2540120482444763
symphony,0.25213247537612915
harmonica,0.24984553456306458
polite,0.2414020299911499
orchestra,0.2364160269498825
command,0.22643116116523743
soprano,0.2194284349679947
amplification,0.2185833752155304
opera,0.19790524244308472
tune,0.1879204511642456
hearing,0.18039090931415558
band,0.17426379024982452
response,0.1702907532453537
story,0.1612050086259842
beg,0.14626646041870117
newsflash,0.12112689018249512
soundtrack,0.09163148701190948
