,w,i
251,whispering,0.05197238416655897
354,chuckle,0.050812775948166265
169,whisper,0.048689406948404026
183,cowbell,0.0483518769794062
305,drum,0.047501925541015906
20,sitcom,0.045246146671874696
294,silly,0.04341273857943231
27,dogs,0.043365791312835626
254,humorous,0.04123749430228369
59,auditory,0.04099370684418456
196,interview,0.040274200987835344
47,request,0.03952702753404104
225,expletive,0.03778281649096515
11,announcer,0.03638319314188141
45,shush,0.03615893219392357
107,sport,0.03332919803730275
261,whistling,0.033126098988555355
201,bell,0.032687108905501173
172,festive,0.031738245444737925
170,ridicule,0.031211134084980614
341,conversation,0.030704273126838502
262,burp,0.028897873116293674
347,jingling,0.027876228363553794
144,story,0.026633491777009088
199,nonsense,0.025477892449455097
44,horn,0.02144991126445746
95,word,0.020943199943442094
348,tone,0.019656693551208904
263,gargle,0.018765789867232364
281,cluck,0.017538458021929097
304,barking,0.016880434121050628
147,cuss,0.016267530878063083
66,gun,0.015748476448820763
67,laughter,0.01357690267559181
40,hiss,0.013356716864495452
5,sigh,0.011334133887328885
35,ticking,0.009169531545585514
8,rattle,0.004678353382153405
334,gasping,0.0006213036811028534
269,explode,-0.0010329767599591378
125,talking,-0.0011989080475683423
194,rattling,-0.004373499568315302
113,shooting,-0.004823427792752965
82,muffled,-0.005446243281581996
363,argue,-0.0063799347470113775
197,beeper,-0.010767515985071923
50,speaking,-0.010824730193760212
97,yapping,-0.012519330725468654
29,groan,-0.017136014195340884
364,media,-0.017181209254699473
211,beat,-0.01720501168454859
217,me,-0.01821484071959967
300,bass,-0.0182596689376269
0,humor,-0.01890920842052219
52,chorus,-0.018959775067798328
181,pager,-0.01897941498097477
72,woodpecker,-0.019133512469998976
319,tapping,-0.020300229888277926
124,someone,-0.02064581446557694
266,chaos,-0.021763791793994604
264,tuba,-0.023372883790840376
48,roar,-0.023650277380924525
62,amen,-0.023804984358053543
104,rap,-0.023992124728516244
167,moan,-0.024240095262265626
356,disco,-0.029742269288816684
344,plead,-0.030698310869141987
338,cracking,-0.031523992180473526
102,sneeze,-0.03280978248617682
250,poetry,-0.035284400015481984
123,choral,-0.040597093691177276
57,drummer,-0.042705602638153414
51,howl,-0.04313358959887376
145,hammering,-0.04374049386795129
33,reggae,-0.044143466205690776
25,instrumental,-0.04684059773225098
136,melodic,-0.04715149639710066
71,laugh,-0.0480560338487176
324,rhythm,-0.05129618085183694
178,coach,-0.051374731192789604
36,quiet,-0.051696062910828545
184,shout,-0.05258898570187343
138,funny,-0.05320912066336464
58,firecracker,-0.0543187515866312
285,typewriter,-0.05496643526721627
206,actor,-0.05504314649118639
166,hearing,-0.05563642482843267
241,sob,-0.05870508280484984
1,pleading,-0.05891059771011541
156,gurgle,-0.05899801081777386
83,boom,-0.05938048835045232
31,woman,-0.06112737549363569
230,cellphone,-0.062272207588067174
299,growling,-0.06308231280414989
134,footsteps,-0.0637995999376617
280,grunt,-0.06532064742021153
215,alarm,-0.06701980596170092
60,wail,-0.06776780690952472
307,children,-0.06821069183010055
235,album,-0.0692559812805606
259,lion,-0.0695423986874085
75,creaking,-0.0721549887908477
180,saxophone,-0.07249591447364258
121,rumbling,-0.0733739580752411
78,man,-0.07338006294743052
168,decree,-0.07463427654898815
141,poem,-0.07496943494293264
64,rude,-0.08199139978922056
242,talk,-0.08210583787772971
22,disturbance,-0.08407961906387565
87,lie,-0.08476024017002859
276,arcade,-0.0859548526543623
153,amplification,-0.08643646224222604
111,circus,-0.08709408795640115
342,sobbing,-0.08857469425288175
19,storm,-0.09235338764009321
323,cry,-0.0936739215423335
311,outdoor,-0.09481509332026897
293,tinkle,-0.09756263888815642
118,mumble,-0.09851123434781091
68,loudly,-0.09933601078981534
137,phone,-0.09988438819229407
227,creaky,-0.10026790872734234
158,flatulence,-0.10053235744419513
122,notification,-0.10218137752448898
205,percussion,-0.10390388953794054
284,whir,-0.10472442562643994
212,cannon,-0.10498660565651316
275,booming,-0.10501110010680116
249,hum,-0.10519148558438922
223,mantra,-0.10990068265022208
179,mock,-0.11198099174500067
277,recorder,-0.11214375478192933
229,sarcastic,-0.11215615096509526
143,mower,-0.11275979351088962
86,knocking,-0.11368044226121313
316,bees,-0.1150601161560639
257,noisy,-0.11511780842827182
18,silent,-0.11774353083286346
226,insult,-0.12039511090738046
327,human,-0.12084673000666965
244,cheer,-0.1215215853205061
245,band,-0.12200121372824818
332,response,-0.12220073035200953
191,announce,-0.12250564309229575
288,drill,-0.12541263386329773
213,muttering,-0.12758099884522373
320,harmonic,-0.1291828495738884
146,bird,-0.12927319549663036
292,seagull,-0.12952061791024713
198,joke,-0.1297586616269175
130,growl,-0.13004360824164773
234,crowd,-0.130125040528704
297,harp,-0.13031595470245547
298,cough,-0.1339454830794573
16,bellow,-0.1354193051598727
325,telephone,-0.13552292724990422
110,phrase,-0.13645455528003494
81,shattering,-0.1367746698441679
308,roaring,-0.13830863753147793
321,sizzle,-0.13951775496001126
165,macaw,-0.14002109834578494
34,rustling,-0.14034955923585768
331,call,-0.14040456533822304
106,yell,-0.1404174740349095
237,gunfire,-0.1410356600104
128,television,-0.14481314329119194
326,baby,-0.1448225918629169
329,cymbal,-0.15248565837969447
350,audience,-0.15346806354648782
37,lesson,-0.15516097799127085
98,chime,-0.15619875320159987
155,applause,-0.1581311413689274
312,cooing,-0.1581859478783706
74,cinema,-0.15972066819339933
248,fireworks,-0.1604981397231813
76,umpire,-0.1621863376618329
99,stutter,-0.16258389892557612
182,son,-0.16427368146454674
220,howling,-0.16457076043037502
90,message,-0.16557795033960288
126,ocean,-0.16728870422529768
159,laughing,-0.1673599853364282
49,jet,-0.16791316665748915
26,fiddle,-0.17417113450567484
309,snoring,-0.17645618099308852
317,singer,-0.17707523452559412
268,viola,-0.1771954910423386
270,moaning,-0.18044364192789533
349,stereo,-0.18124564034735477
209,liar,-0.1813805624485316
162,buzz,-0.18166788638303863
6,harpsichord,-0.18211607873130206
236,question,-0.18627816732995672
361,whine,-0.18734757467575847
139,men,-0.18869064439786243
109,owl,-0.18917544204444645
219,tuning,-0.18957898416728247
218,automobile,-0.19031482085879153
355,music,-0.19031549823404106
204,crying,-0.19047362426001083
54,windy,-0.19097880491826294
358,radio,-0.19117008008078185
32,doorbell,-0.1921125269054161
295,insect,-0.19269900200540466
14,sound,-0.19393293360185623
120,chatter,-0.1962790096569567
173,announcement,-0.19638245451352798
232,creature,-0.1980558524140378
148,outside,-0.20257160879584454
186,song,-0.203906524449932
290,reverberation,-0.20403711792577167
221,singing,-0.20456807120437637
337,news,-0.2052607588845845
131,hush,-0.20647730481162702
239,choir,-0.21079325190238923
253,harmonious,-0.21114682615632585
46,ringing,-0.21125935221813077
38,gunshot,-0.21187693008470754
43,cheers,-0.21579081485279109
127,orchestra,-0.21615651970156435
243,seashore,-0.2163654870532658
351,drilling,-0.2173229445743958
42,clarinet,-0.2184443900046428
77,audio,-0.21868390787653066
258,newsflash,-0.22413578980293491
12,chant,-0.22467246167664867
142,thunderstorm,-0.22469741077562733
10,church,-0.22632153548416248
216,harmonica,-0.22946054851004793
202,baritone,-0.23090991269243916
278,information,-0.2309658906012755
185,buzzer,-0.2310131890405126
21,shrill,-0.231014381691232
163,siren,-0.2315048596546393
85,thunder,-0.23282843708990772
224,explosion,-0.23290413235713878
151,concert,-0.2348330073237101
296,opera,-0.2352001520405601
274,bleating,-0.23540699371565552
340,cello,-0.2370832703730501
39,parade,-0.2384784057424724
56,cheering,-0.23956508689342293
291,donkey,-0.24103952148187915
302,ambulance,-0.2444513751671481
345,train,-0.24631696398546665
313,echo,-0.24684701417371313
200,guitar,-0.24857459440669674
161,tenor,-0.25230782401569757
192,snore,-0.2529769659758737
41,noise,-0.253996691361829
271,soprano,-0.2541783274147049
233,percussive,-0.2549574921960417
188,chord,-0.25819055289015824
286,loud,-0.26128670522400094
152,destruction,-0.2625904560262468
282,musical,-0.2626175794176324
89,piano,-0.26286311125705825
339,feedback,-0.2639390853560185
360,motor,-0.26487847960874733
164,humming,-0.2669811735736518
61,automotive,-0.2691673610206662
3,flute,-0.27390112565614116
65,refusal,-0.2751647038073814
214,symphony,-0.2759139149025429
203,sing,-0.27883366610612564
177,city,-0.2801596279382192
346,instrument,-0.2802850272255589
101,multimedia,-0.2805136837833395
222,beg,-0.28112424717057327
15,screeching,-0.2819974841692886
352,presentation,-0.28205546867698733
279,acoustic,-0.2893349852224869
343,polite,-0.29355518112580903
208,screaming,-0.29385011921665544
365,advertisement,-0.2992622210972558
228,party,-0.30213102027284483
63,movie,-0.3124357384823839
333,rooster,-0.31580326947539755
70,tune,-0.3188645323110538
240,foghorn,-0.3311787182968806
318,accent,-0.33280814280204807
116,ad,-0.3394030954982078
28,thunderclap,-0.34065963809295907
272,amplifier,-0.35094885050130364
187,people,-0.355005861559409
154,trumpet,-0.3777837734121705
366,engine,-0.37862418195394576
174,violin,-0.38640605782714943
176,broadcast,-0.3989062417760708
330,report,-0.39994875061326285
