,w,i
7,drip,0.5373709015754676
69,pop,0.4893790860614949
114,thud,0.4875155094764921
273,clunk,0.47877341035546594
30,click,0.4477399878153147
314,frog,0.3862388712732922
322,communication,0.35955127768799466
96,meow,0.3258341266948829
246,unintelligible,0.28824909081903277
149,monotone,0.2798255909727025
359,soundtrack,0.24284630446830674
79,giggle,0.22213173657956917
193,dialogue,0.2129556855732988
255,squawk,0.20868155560689058
353,chat,0.20849951019537055
133,snap,0.20376456091121253
171,sarcasm,0.20045953839919245
207,bang,0.19916297559180962
135,saying,0.1942907986365549
9,spoken,0.1935849156582087
175,recital,0.19114582692205803
73,quack,0.1876832927298648
357,crunch,0.18661801422724666
100,giggling,0.1783152501299268
108,speech,0.17579364398864697
315,canary,0.15973255493662852
306,vocal,0.1557418766184644
189,techno,0.15414485923625793
91,swear,0.1534677502077541
157,politics,0.14504537720354393
55,bark,0.13873265987510017
289,yes,0.13783747170300836
129,recording,0.1311526458199983
2,whoosh,0.13000873183935577
112,whistle,0.11808376623128825
93,slam,0.11723768158663558
267,rainy,0.11329218473522729
195,female,0.11314480081029855
283,real,0.10977214954653017
265,apology,0.10654643271386117
160,language,0.10463607127643919
103,monologue,0.10454600845871535
119,dog,0.10022351167257565
310,thudding,0.09941698669159792
13,ding,0.09900882076495669
94,answer,0.09759850876013258
362,fighting,0.09756426419289198
150,command,0.09606907037408885
80,cassette,0.0945854113313681
287,intercom,0.09237609176118074
24,greeting,0.09023300031751058
23,cartoon,0.08776565884784608
301,mandolin,0.08660985238387905
260,slurp,0.08424392310722235
140,knock,0.08061962243629574
335,beep,0.07819419195646089
84,voice,0.07626636538689904
92,clap,0.07604204881860768
210,argument,0.07507587747636948
252,communicate,0.07256207799421188
117,excitement,0.07234890201442888
328,helicopter,0.06966893115471345
115,squeaky,0.06925137327245917
88,sighing,0.06847754977798752
132,tale,0.06693822542680544
17,silence,0.06622038471941435
247,comedy,0.06616050608364132
53,rattlesnake,0.06324150221498719
256,rhythmic,0.062055405067223325
231,gasp,0.06195019397014133
303,person,0.06167766554885754
190,profanity,0.06146280705211465
238,speak,0.05379023307119453
105,hound,0.05339615905701477
4,babble,0.05303944278504305
336,warn,0.05216966134315133
