,w,i
10,church,0.9945256951759911
82,muffled,0.9945219603595508
123,choral,0.9944863033616246
302,mandolin,0.99444930144469
307,vocal,0.9944412967616911
11,announcer,0.9944260905681924
47,request,0.9944128202981087
279,information,0.9944102510429305
122,notification,0.9943992988730014
30,click,0.9943952434221924
171,sarcasm,0.9943927654199654
110,phrase,0.9943659420681422
101,multimedia,0.9943647829583658
178,coach,0.9942847377548504
216,harmonica,0.9942485528171615
124,someone,0.9942210207640408
70,tune,0.9941952014072211
116,ad,0.9941822915363626
195,female,0.9941520838902583
166,hearing,0.9941380727914199
74,cinema,0.9940738111729429
342,conversation,0.9940736387886451
193,dialogue,0.994007701639018
60,wail,0.9939740828008893
197,beeper,0.9939604536032228
127,orchestra,0.9939561638075296
142,thunderstorm,0.993949921440856
6,harpsichord,0.99392131072446
8,rattle,0.9939069752584295
80,cassette,0.9939020432619223
199,nonsense,0.9938827635826656
173,announcement,0.9938740698334824
149,monotone,0.9938454476594961
218,automobile,0.9938443126113281
4,babble,0.99382048463798
353,presentation,0.9937449846344378
204,crying,0.9937438965375512
89,piano,0.9937278377937836
331,report,0.9937198393331035
364,argue,0.9936425728032398
225,expletive,0.9936376647540093
251,poetry,0.9936326544937123
320,tapping,0.993606573850891
354,chat,0.9936051340116168
46,ringing,0.9935015714976864
1,pleading,0.9934838829055159
278,recorder,0.9934437213045622
323,communication,0.9934139695179635
311,thudding,0.9933866973510423
131,hush,0.9933101205806008
132,tale,0.9932821267408449
312,outdoor,0.9931575670068228
175,recital,0.9930073509820513
337,warn,0.9929336649004443
363,fighting,0.9928445223712787
191,announce,0.9927952553938162
105,hound,0.9927920677461505
68,loudly,0.9927692162821637
223,mantra,0.9927131482358504
121,rumbling,0.9926591408883252
96,meow,0.9925405801594422
76,umpire,0.9924367513139489
211,beat,0.9923963137394163
345,plead,0.9923597398038151
265,tuba,0.9923592477480532
358,crunch,0.9923569158824677
59,auditory,0.9923381900689326
230,cellphone,0.9923119116826877
182,son,0.9922882811175986
298,harp,0.9922622613191752
269,viola,0.9922565506458911
287,loud,0.9922491632007905
90,message,0.9921712639400071
301,bass,0.9921239912538268
217,me,0.9919627933258479
33,reggae,0.9919397857756002
103,monologue,0.9919395639883077
260,lion,0.9919084121550377
304,person,0.9918544557865999
48,roar,0.9918026545513132
333,response,0.9917166512640032
264,gargle,0.9915839393427851
97,yapping,0.9915303638164178
329,helicopter,0.991375591197192
288,intercom,0.9912957749844515
99,stutter,0.9911887227772447
241,sob,0.9910076378721162
326,telephone,0.9908700491106659
297,opera,0.9908540191012783
270,explode,0.990728332562268
252,whispering,0.990391748482036
174,violin,0.9902001332411999
272,soprano,0.989878746306099
20,sitcom,0.9898783919056064
185,buzzer,0.9897380634255298
206,actor,0.9893183923942169
150,command,0.9892276542890495
87,lie,0.9888340439876925
145,hammering,0.9885864121837024
256,squawk,0.9884722310819092
53,rattlesnake,0.9881895251079589
266,apology,0.9865577379493728
341,cello,0.9861551190491442
343,sobbing,0.9859883224097562
168,decree,0.9830260205510193
190,profanity,0.9828200103968568
316,canary,0.9822949859548061
253,communicate,0.9819764043882012
226,insult,0.9819264077232527
254,harmonious,0.9806661208454744
65,refusal,0.9797270651496556
147,cuss,0.9766441863458597
18,silent,0.9646286622142131
360,soundtrack,0.9618101361809446
181,pager,0.9094625207514035
